query_id,tier,tier_name,difficulty,answer_type,pipeline,model,scale,status,latency_ms,cost_usd,judge_score,judge_reasoning,judge_cost_usd,judge_cached,judge_model,answer_preview,gold_preview
q001,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,10786.212541002897,0.01157505,1.0,The predicted answer matches the gold answer exactly in terms of numeric value and units.,0.0,False,gpt-4o,"$391,035 million","$391,035 million ($391.035 billion)."
q002,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,12266.880374998436,0.02151555,1.0,The predicted answer matches the gold answer exactly in terms of the amount spent on research and development.,0.0,False,gpt-4o,"$18,497 million","$18,497 million ($18.497 billion) in fiscal 2026, ended January 25, 2026."
q003,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,15198.506875000021,0.0,0.0,The predicted answer does not provide any numeric value for JPMorgan Chase's total net revenue for fiscal year 2024.,0.0,False,gpt-4o,NO_FINAL_ANSWER,"$177,556 million ($177.556 billion), reported total net revenue for FY2024."
q004,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,14544.726207997883,0.028201349999999997,1.0,The predicted answer matches the gold answer exactly in terms of the numeric value.,0.0,False,gpt-4o,"$349,585 million","$349,585 million ($349.585 billion)."
q005,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,11444.721209001727,0.0169716,1.0,The predicted answer matches the gold answer exactly in both numeric value and units.,0.0,False,gpt-4o,"$58,496 million","$58,496 million ($58.496 billion)."
q006,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,9366.029666998656,0.014598449999999999,1.0,"The predicted answer correctly represents the number of employees as 2,100,000, which matches the gold answer of approximately 2.1 million.",0.0,False,gpt-4o,"2,100,000","Approximately 2.1 million associates worldwide as of January 31, 2026."
q007,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,9922.500208995189,0.012498599999999999,1.0,The predicted answer matches the gold answer exactly in terms of numeric value and units.,0.0,False,gpt-4o,"$66,517 million","$66,517 million ($66.517 billion)."
q008,1,single_hop,easy,descriptive,rlm,gpt-4o-mini,150,ok,8428.080749996298,0.008706899999999998,0.0,"The predicted answer provides a numeric value instead of describing the primary source of revenue, which is advertising placements.",0.0,False,gpt-4o,"$117,929 million",Advertising placements on its family of apps are its primary source of revenue.
q009,1,single_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,12175.67075000261,0.019297499999999995,1.0,"The predicted answer matches the gold answer exactly, providing the correct operating profit margin for fiscal year 2024.",0.0,False,gpt-4o,20.2%,20.2% reported operating profit margin for FY2024.
q010,1,single_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,10603.790166002,0.0174474,1.0,"The predicted answer of $1.35 billion is equivalent to the gold answer of $1,348 million ($1.348 billion), as it is within the acceptable rounding range.",0.0,False,gpt-4o,$1.35 billion,"$1,348 million ($1.348 billion)."
q011,1,single_hop,easy,descriptive,rlm,gpt-4o-mini,150,ok,5566.4230830007,0.0,0.0,The predicted answer does not provide any information about Johnson & Johnson's business segments.,0.0,False,gpt-4o,NO_FINAL_ANSWER,Innovative Medicine and MedTech.
q012,1,single_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,8987.805500000832,0.010709699999999997,1.0,The predicted answer matches the gold answer exactly in both value and units.,0.0,False,gpt-4o,"$16,448 million","$16,448 million ($16.448 billion)."
q013,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,10782.447249999677,0.0,0.0,"The predicted answer does not provide any information about BlackRock's AUM, which is approximately $10.0 trillion.",0.0,False,gpt-4o,NO_FINAL_ANSWER,"Approximately $10.0 trillion in assets under management as of December 31, 2023."
q014,1,single_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,13846.042582998052,0.0,0.0,The predicted answer does not provide any information about Home Depot's comparable sales growth rate for fiscal year 2024.,0.0,False,gpt-4o,NO_FINAL_ANSWER,Comparable sales decreased 1.8% (growth rate −1.8%) in fiscal 2024.
q015,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,9437.675458997546,0.0162387,1.0,The predicted answer matches the gold answer exactly in terms of numeric value and units.,0.0,False,gpt-4o,"$47,061 million","$47,061 million ($47.061 billion)."
q016,1,single_hop,easy,descriptive,rlm,gpt-4o-mini,150,ok,9621.716707995802,0.0139356,1.0,"The predicted answer correctly lists the three categories: Google Services, Google Cloud, and Other Bets, matching the gold answer.",0.0,False,gpt-4o,"1. Google Services, 2. Google Cloud, 3. Other Bets","Google Services, Google Cloud, and Other Bets. Other Bets combines multiple operating segments that are not individually"
q017,1,single_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,8891.215374998865,0.011356199999999999,1.0,"The predicted answer correctly states the gross margin percentage as 49%, matching the gold answer.",0.0,False,gpt-4o,49%,49% reported gross margin for FY2024.
q018,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,9407.78195799794,0.011636999999999998,1.0,The predicted answer matches the gold answer exactly in terms of the net sales figure for fiscal year 2024.,0.0,False,gpt-4o,"$84,039 million","$84,039 million ($84.039 billion), for the fiscal year ended June 30, 2024."
q019,1,single_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,7759.114458000113,0.01156185,0.0,"The predicted answer provides the total net sales figure, not the percentage from the Services segment.",0.0,False,gpt-4o,"$391,035 million","Approximately 24.6% ($96,169 million / $391,035 million × 100)."
q020,1,single_hop,easy,numeric,rlm,gpt-4o-mini,150,ok,15142.260166998312,0.0,0.0,"The predicted answer does not provide any numeric value, making it completely incorrect.",0.0,False,gpt-4o,NO_FINAL_ANSWER,"$344,758 million ($344.758 billion)."
q021,2,multi_hop,easy,comparative,rlm,gpt-4o-mini,150,ok,11985.983250000572,0.016762649999999997,0.0,"The predicted answer provides a revenue figure without specifying the company or making a comparison, which is necessary for a comparative question.",0.0,False,gpt-4o,"$365,817 million","Apple: $416,161 million in FY2025, versus NVIDIA: $215,938 million in fiscal 2026. Apple had higher revenue."
q022,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,21019.316416000947,0.0,0.0,The predicted answer does not provide any information or comparison between NVIDIA and AMD's R&D spending as a percentage of revenue.,0.0,False,gpt-4o,NO_FINAL_ANSWER,"AMD spent approximately 23.4% of revenue on R&D ($8,091M / $34,639M) in FY2025, versus NVIDIA approximately 8.6% ($18,49"
q023,2,multi_hop,easy,comparative,rlm,gpt-4o-mini,150,ok,15649.670708000485,0.021633,0.0,"The predicted answer provides a single figure without comparison or context, and it does not address the question of which bank had higher net income.",0.0,False,gpt-4o,"$30,509 million","JPMorgan Chase: $58,471 million, versus Bank of America: $26,973 million for FY2024, using the comparative figures in th"
q024,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,22545.760375003738,0.036543599999999996,0.0,"The predicted answer provides a single numeric value without context or comparison, and it does not address the comparison between ExxonMobil and Chevron.",0.0,False,gpt-4o,"$15,544 million","ExxonMobil invested more: $24,306 million in cash additions to property, plant and equipment, versus Chevron capital exp"
q025,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,12127.448125000228,0.0094182,0.0,The predicted answer does not address the comparative margin question and only provides numbers without context or comparison.,0.0,False,gpt-4o,"$65,179 million, $11,052 million","Eli Lilly had the higher margin: approximately 83.0% ((65,179−11,052)/65,179), versus Pfizer approximately 74.3% ((62,57"
q026,2,multi_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,15914.28545799863,0.021049949999999998,0.2,The predicted answer only provides the revenue for FY2023 and does not address the change to FY2024.,0.0,False,gpt-4o,"$383,285 million","Apple revenue increased from $383,285 million in FY2023 to $391,035 million in FY2024, up $7,750 million (approximately "
q027,2,multi_hop,medium,numeric,rlm,gpt-4o-mini,150,ok,12979.573958000401,0.01588725,0.0,"The predicted answer provides only a single numeric value without context or comparison, failing to address the ratio of Walmart's sales to Costco's.",0.0,False,gpt-4o,"$642,637 million","Walmart net sales were $706,413 million in fiscal 2026 and Costco net sales were $269,912 million in FY2025. The ratio w"
q028,2,multi_hop,easy,comparative,rlm,gpt-4o-mini,150,ok,24604.88520799845,0.03539925,0.5,The predicted answer correctly identifies Bank of America's total assets but does not address the comparison with JPMorgan Chase.,0.0,False,gpt-4o,"$3,261,519 million","JPMorgan Chase had higher total assets at December 31, 2024: $4,002,814 million, versus Bank of America $3,261,299 milli"
q029,2,multi_hop,hard,comparative,rlm,gpt-4o-mini,150,ok,17095.868041993526,0.01830735,0.0,The predicted answer provides a numeric value unrelated to the comparative revenue growth rates of NVIDIA and AMD.,0.0,False,gpt-4o,"$26,914 million","NVIDIA revenue grew approximately 65.5% ($215,938M versus $130,497M) in fiscal 2026; AMD grew approximately 34.3% ($34,6"
q031,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,18807.313167002576,0.023333999999999997,0.2,"The predicted answer only provides the dividend per share for Coca-Cola and does not compare it to Procter & Gamble's dividend, which is the main requirement of the question.",0.0,False,gpt-4o,$2.04,"Procter & Gamble paid approximately $4.08 per common share in its fiscal year ended June 30, 2025, versus Coca-Cola $2.0"
q032,2,multi_hop,hard,comparative,rlm,gpt-4o-mini,150,ok,13234.297832997981,0.029509799999999996,0.0,The predicted answer is completely irrelevant to the question about return on equity.,0.0,False,gpt-4o,"$53,512 million","JPMorgan Chase had higher FY2024 return on common equity: 18%, versus Goldman Sachs 12.7%."
q033,2,multi_hop,hard,numeric,rlm,gpt-4o-mini,150,ok,26835.48591699946,0.032415,0.0,"The predicted answer is an incorrect and implausible figure for the change in operating loss, which should be around $1,609 million.",0.0,False,gpt-4o,"$134,902 million","Reality Labs operating loss increased from $16,120 million in FY2023 to $17,729 million in FY2024, a $1,609 million incr"
q034,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,21902.387833004468,0.037782899999999994,0.5,"The predicted answer provides the long-term debt for ExxonMobil but does not compare it to ConocoPhillips' debt, missing the comparative aspect.",0.0,False,gpt-4o,"$34,241 million","At December 31, 2025, ExxonMobil reported $34,241 million of long-term debt, versus ConocoPhillips $22,424 million. Exxo"
q035,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,19748.069166998903,0.0,0.0,The predicted answer does not provide any information about the operating profit margins of Linde or Freeport-McMoRan.,0.0,False,gpt-4o,NO_FINAL_ANSWER,"Linde had the higher FY2025 reported operating margin: approximately 26.3% ($8,923M/$33,986M), versus Freeport-McMoRan a"
q036,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,16236.665208001796,0.019601249999999997,0.0,"The predicted answer does not address the comparative question between Apple and Alphabet, nor does it provide any comparison or relevant figures.",0.0,False,gpt-4o,$126.8 billion,"Apple had more cash and cash equivalents: $35,934 million at September 27, 2025, versus Alphabet $30,708 million at Dece"
q039,2,multi_hop,medium,comparative,rlm,gpt-4o-mini,150,ok,11896.028249997471,0.0,0.0,The predicted answer is completely wrong as it does not provide any information about the R&D expenses of AbbVie and Johnson & Johnson.,0.0,False,gpt-4o,TOKENLIMITEXCEEDEDERROR,"Johnson & Johnson spent approximately 15.6% of revenue on R&D ($14,665M/$94,193M), versus AbbVie approximately 14.9% ($9"
q040,2,multi_hop,hard,descriptive,rlm,gpt-4o-mini,150,ok,11956.88795800379,0.017611199999999997,0.2,The predicted answer only provides the 2024 revenue figure without addressing the change from 2023 or the factors driving the change.,0.0,False,gpt-4o,"$38,702 million","GE Aerospace consolidated revenue increased from $35,348 million in 2023 to $38,702 million in 2024, up $3,354 million ("
q041,3,aggregation,hard,ranking,rlm,gpt-4o-mini,150,ok,12561.61462500313,0.0,0.0,"The predicted answer does not provide any ranking or relevant information, making it completely incorrect.",0.0,False,gpt-4o,NO_FINAL_ANSWER,"Walmart $713,163M > Apple $416,161M > ExxonMobil $332,238M > NVIDIA $215,938M > JPMorgan Chase $182,447M. Walmart and NV"
q044,3,aggregation,hard,numeric,rlm,gpt-4o-mini,150,ok,9898.273749997315,0.038671649999999995,0.2,"The predicted answer only includes Apple's revenue and an incorrect figure for another company, missing the total combined revenue of all five companies.",0.0,False,gpt-4o,"$416,161 million + $365,817 million","Combined revenue was $1,270,540 million ($1.270540 trillion): Apple 416,161M + NVIDIA 215,938M + Alphabet 402,836M + Met"
q052,3,aggregation,hard,ranking,rlm,gpt-4o-mini,150,ok,23436.573083999974,0.0,0.0,The predicted answer is completely wrong as it does not provide any ranking or relevant information.,0.0,False,gpt-4o,TOKENLIMITEXCEEDEDERROR,"Boeing $89,463M > Caterpillar $67,589M > GE Aerospace $45,855M > Deere $45,684M, for their respective FY2025 periods."
q067,4,pairwise,hard,comparative,rlm,gpt-4o-mini,150,ok,20688.52699999843,0.037657949999999996,0.0,"The predicted answer provides a single numeric value without any comparison or breakdown, which does not address the comparative question about Apple and JPMorgan's cash-flow-statement share repurchases and dividends.",0.0,False,gpt-4o,"$416,161 million","Apple returned $106,132M ($90,711M buybacks + $15,421M dividends/dividend equivalents), versus JPMorgan $48,216M ($31,59"
q073,4,pairwise,hard,comparative,rlm,gpt-4o-mini,150,ok,14705.25883299706,0.022874699999999998,0.0,The predicted answer does not address the comparative question about the percentage of goodwill and intangible assets relative to total assets for AbbVie and Johnson & Johnson.,0.0,False,gpt-4o,"$52,641 million","AbbVie was higher as a percentage of assets: ($35,640M goodwill + $52,641M net intangibles)/$133,960M = 65.9%, versus Jo"
q074,4,pairwise,hard,comparative,rlm,gpt-4o-mini,150,ok,13122.291833002237,0.00981285,0.0,"The predicted answer provides a specific production volume for one company, but it does not compare the production volumes of both ConocoPhillips and ExxonMobil as required.",0.0,False,gpt-4o,"829,000 barrels/day","ExxonMobil averaged approximately 4.7 million oil-equivalent barrels per day in 2025, versus ConocoPhillips 2,375 MBOED "
