query_id,tier,tier_name,difficulty,answer_type,pipeline,model,scale,status,latency_ms,cost_usd,judge_score,judge_reasoning,judge_cost_usd,judge_cached,judge_model,answer_preview,gold_preview
q001,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.020624996977858245,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$391,035 million ($391.035 billion)."
q002,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.023624997993465513,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$18,497 million ($18.497 billion) in fiscal 2026, ended January 25, 2026."
q003,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.0059589947341009974,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$177,556 million ($177.556 billion), reported total net revenue for FY2024."
q004,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.0070829992182552814,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$349,585 million ($349.585 billion)."
q005,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.011916999937966466,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$58,496 million ($58.496 billion)."
q006,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.004916000762023032,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"Approximately 2.1 million associates worldwide as of January 31, 2026."
q007,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.004583002009894699,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$66,517 million ($66.517 billion)."
q008,1,single_hop,easy,descriptive,naive_llm,gpt-4o-mini,150,ok,0.006750000466126949,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,Advertising placements on its family of apps are its primary source of revenue.
q009,1,single_hop,medium,numeric,naive_llm,gpt-4o-mini,150,ok,0.006624999514315277,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,20.2% reported operating profit margin for FY2024.
q010,1,single_hop,medium,numeric,naive_llm,gpt-4o-mini,150,ok,0.006665999535471201,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$1,348 million ($1.348 billion)."
q011,1,single_hop,easy,descriptive,naive_llm,gpt-4o-mini,150,ok,0.010541996743995696,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,Innovative Medicine and MedTech.
q012,1,single_hop,medium,numeric,naive_llm,gpt-4o-mini,150,ok,0.006624999514315277,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$16,448 million ($16.448 billion)."
q013,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.006791997293476015,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"Approximately $10.0 trillion in assets under management as of December 31, 2023."
q014,1,single_hop,medium,numeric,naive_llm,gpt-4o-mini,150,ok,0.01274999522138387,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,Comparable sales decreased 1.8% (growth rate −1.8%) in fiscal 2024.
q015,1,single_hop,easy,numeric,naive_llm,gpt-4o-mini,150,ok,0.007167000148911029,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"$47,061 million ($47.061 billion)."
q016,1,single_hop,easy,descriptive,naive_llm,gpt-4o-mini,150,ok,0.007167000148911029,0.0,0.0,degenerate answer: EXCEEDS_CONTEXT,0.0,False,gpt-4o-mini,EXCEEDS_CONTEXT,"Google Services, Google Cloud, and Other Bets. Other Bets combines multiple operating segments that are not individually"
