query_id,tier,tier_name,difficulty,answer_type,pipeline,model,scale,status,latency_ms,cost_usd,judge_score,judge_reasoning,judge_cost_usd,judge_cached,judge_model,answer_preview,gold_preview
q001,1,single_hop,easy,numeric,pageindex,gpt-4o-mini,150,ok,6805.853040998045,0.0082347,1.0,The predicted answer matches the gold answer exactly in terms of numeric value and units.,0.0,False,gpt-4o,"Apple's total net sales (revenue) for fiscal year 2024 was $391,035 million.","$391,035 million ($391.035 billion)."
q002,1,single_hop,easy,numeric,pageindex,gpt-4o-mini,150,ok,7085.551582997141,0.008398649999999999,1.0,"The predicted answer correctly states the R&D spending as $18.5 billion, which is equivalent to the gold answer of $18,497 million, and correctly identifies the fiscal year as ending January 25, 2026.",0.0,False,gpt-4o,"NVIDIA spent $18.5 billion on research and development in its most recent fiscal year reported in its 10-K, which is for","$18,497 million ($18.497 billion) in fiscal 2026, ended January 25, 2026."
q003,1,single_hop,easy,numeric,pageindex,gpt-4o-mini,150,ok,5858.980791999784,0.0032533499999999995,0.0,The predicted answer does not provide any numeric information about JPMorgan Chase's total net revenue for fiscal year 2024.,0.0,False,gpt-4o,"The selected sections do not provide the total net revenue for JPMorgan Chase for fiscal year 2024. Therefore, I cannot ","$177,556 million ($177.556 billion), reported total net revenue for FY2024."
q004,1,single_hop,easy,numeric,pageindex,gpt-4o-mini,150,ok,7426.5436670029885,0.014021549999999999,0.0,The predicted answer does not provide any numeric information about ExxonMobil's total revenues and other income for fiscal year 2024.,0.0,False,gpt-4o,The selected sections do not provide information on ExxonMobil's total revenues and other income for fiscal year 2024. T,"$349,585 million ($349.585 billion)."
q005,1,single_hop,easy,numeric,pageindex,gpt-4o-mini,150,ok,8653.007375003654,0.016182149999999996,1.0,"The predicted answer correctly states Pfizer's total revenue as $58.5 billion, which matches the gold answer of $58.496 billion within acceptable rounding.",0.0,False,gpt-4o,"Pfizer's total revenue for fiscal year 2023, as originally reported in its fiscal 2023 10-K, was $58.5 billion.","$58,496 million ($58.496 billion)."
q006,1,single_hop,easy,numeric,pageindex,gpt-4o-mini,150,ok,8166.505583001708,0.017171699999999998,0.0,"The predicted answer does not provide any numeric information about the number of employees, which is required for a correct response.",0.0,False,gpt-4o,The selected sections do not provide information regarding the number of employees that Walmart reported in its most rec,"Approximately 2.1 million associates worldwide as of January 31, 2026."
q007,1,single_hop,easy,numeric,pageindex,gpt-4o-mini,150,ok,7423.819834002643,0.011992349999999999,1.0,The predicted answer matches the gold answer exactly in terms of Boeing's total revenue for fiscal year 2024.,0.0,True,gpt-4o,"Boeing's total revenue for fiscal year 2024 was $66,517 million.","$66,517 million ($66.517 billion)."
q008,1,single_hop,easy,descriptive,pageindex,gpt-4o-mini,150,ok,9057.292958001199,0.01689315,1.0,"The predicted answer correctly identifies advertising as the primary source of revenue and specifies that it comes from platforms like Facebook and Instagram, aligning with the gold answer.",0.0,False,gpt-4o,"According to Meta Platforms' most recent 10-K filing for the year ended December 31, 2025, the primary source of revenue",Advertising placements on its family of apps are its primary source of revenue.
q009,1,single_hop,medium,numeric,pageindex,gpt-4o-mini,150,ok,10643.971292003698,0.012186599999999999,1.0,"The predicted answer correctly states the reported operating profit margin for FY2024 as 20.2%, matching the gold answer.",0.0,False,gpt-4o,"Caterpillar's operating profit margin for fiscal year 2024 was 20.2 percent, compared to 19.3 percent in 2023. The adjus",20.2% reported operating profit margin for FY2024.
q010,1,single_hop,medium,numeric,pageindex,gpt-4o-mini,150,ok,5396.469207997143,0.0027657,0.0,The predicted answer does not provide any numeric information about Goldman Sachs' provision for credit losses in fiscal year 2024.,0.0,False,gpt-4o,The selected sections do not provide information regarding Goldman Sachs' provision for credit losses in fiscal year 202,"$1,348 million ($1.348 billion)."
