query_id,tier,tier_name,difficulty,answer_type,pipeline,model,scale,status,latency_ms,cost_usd,judge_score,judge_reasoning,judge_cost_usd,judge_cached,judge_model,answer_preview,gold_preview
q001,1,single_hop,easy,numeric,vector_rag,gpt-4o-mini,150,ok,2153.872458002297,0.00071076,1.0,"The predicted answer correctly states Apple's total net sales for fiscal year 2024 as $391.035 billion, matching the gold answer.",0.0,False,gpt-4o,Apple's total net sales (revenue) for fiscal year 2024 were $391.035 billion.,"$391,035 million ($391.035 billion)."
q002,1,single_hop,easy,numeric,vector_rag,gpt-4o-mini,150,ok,1128.292458000942,0.0007532899999999,0.0,The predicted answer provides a different amount and fiscal year than the gold answer.,0.0,False,gpt-4o,"NVIDIA spent $12,914 million on research and development in its most recent fiscal year reported, which ended on January","$18,497 million ($18.497 billion) in fiscal 2026, ended January 25, 2026."
q003,1,single_hop,easy,numeric,vector_rag,gpt-4o-mini,150,ok,1111.6130420050467,0.00068734,1.0,"The predicted answer correctly states JPMorgan Chase's total net revenue for fiscal year 2024 as $177.6 billion, which matches the gold answer of $177,556 million ($177.556 billion) within acceptable rounding.",0.0,False,gpt-4o,JPMorgan Chase's total net revenue for fiscal year 2024 was $177.6 billion.,"$177,556 million ($177.556 billion), reported total net revenue for FY2024."
q004,1,single_hop,easy,numeric,vector_rag,gpt-4o-mini,150,ok,2324.922167004843,0.00076806,1.0,"The predicted answer correctly states ExxonMobil's total revenues and other income for fiscal year 2024 as $349.6 billion, which is equivalent to the gold answer of $349,585 million.",0.0,False,gpt-4o,ExxonMobil's total revenues and other income for fiscal year 2024 were $349.6 billion.,"$349,585 million ($349.585 billion)."
q005,1,single_hop,easy,numeric,vector_rag,gpt-4o-mini,150,ok,1090.3438329987694,0.0002133699999999,1.0,"The predicted answer correctly states Pfizer's total revenue for fiscal year 2023 as $58,496 million, matching the gold answer.",0.0,False,gpt-4o,"Pfizer's total revenue for fiscal year 2023, as reported in its fiscal 2023 10-K, was $58,496 million.","$58,496 million ($58.496 billion)."
q006,1,single_hop,easy,numeric,vector_rag,gpt-4o-mini,150,ok,1411.417791998247,0.0007900499999999,0.8,"The predicted answer correctly states the total number of employees as approximately 2.1 million, matching the gold answer, but includes additional details about the U.S. employees and a different fiscal year.",0.0,False,gpt-4o,"Walmart reported approximately 2.1 million associates around the world, with approximately 1.6 million associates in the","Approximately 2.1 million associates worldwide as of January 31, 2026."
q007,1,single_hop,easy,numeric,vector_rag,gpt-4o-mini,150,ok,1250.6116249933257,0.0006590599999999,1.0,The predicted answer matches the gold answer exactly in terms of Boeing's total revenue for fiscal year 2024.,0.0,False,gpt-4o,"Boeing's total revenue for fiscal year 2024 was $66,517 million.","$66,517 million ($66.517 billion)."
q008,1,single_hop,easy,descriptive,vector_rag,gpt-4o-mini,150,ok,1487.6402500012773,0.00077916,1.0,"The predicted answer correctly identifies advertising as Meta Platforms' primary source of revenue and specifies the platforms involved, matching the gold answer.",0.0,False,gpt-4o,"Meta Platforms' primary source of revenue, according to its most recent 10-K filing for the fiscal year ended December 3",Advertising placements on its family of apps are its primary source of revenue.
q009,1,single_hop,medium,numeric,vector_rag,gpt-4o-mini,150,ok,1217.630749997625,0.0006677999999999,1.0,"The predicted answer correctly states the operating profit margin as 20.2%, matching the gold answer.",0.0,False,gpt-4o,Caterpillar's operating profit margin for fiscal year 2024 was 20.2%.,20.2% reported operating profit margin for FY2024.
q010,1,single_hop,medium,numeric,vector_rag,gpt-4o-mini,150,ok,1370.842750002339,0.00065867,0.0,"The predicted answer provides a different figure ($1.181 billion) than the gold answer ($1.348 billion), which is outside the acceptable rounding range.",0.0,False,gpt-4o,Goldman Sachs' provision for credit losses in fiscal year 2024 was $1.181 billion.,"$1,348 million ($1.348 billion)."
